anno,ore,km,dislivello,startListQuality
1989,93:30,3266,32334,1060
1990,91:51,3450,31980,1061
1991,99:35,3720,31990,908
1992,103:36,3830,28240,953
1993,98:10,3702,30930,1089
1994,100:41,3731,25800,1292
1995,97:39,3733,36940,1365
1996,105:20,3990,33500,1034
1997,102:53,3918,38500,792
1998,98:48,3811,38500,923
1999,99:55,3774,39800,1057
2000,98:30,3700,42690,866
2001,89:3,3364,42000,920
2002,89:22,3363,32200,920
2003,89:32,3489,38800,734
2004,87:32,3413,32139,621
2005,91:25,3435,34359,929
2006,91:33,3508,33900,997
2007,93:00,3486,34862,884
2008,89:56,3406,35064,1058
2009,86:03,3456,34795,975
2010,87:44,3486,33536,878
2011,84:11,3262,35256,891
2012,91:39,3505,35805,886
2013,84:53,3339,37400,930
2014,88:14,3475,37030,892
2015,88:22,3495,41700,861
2016,86:32,3463,40000,933
2017,90:34,3609,40700,881
2018,89:02,3572,47000,838
2019,90:01,3646,45000,896
2020,85:40,3352,32800,765
2021,86:17,3411,48000,885
2022,86:31,3447,50580,817
2023,85:29,3363,51400,835
2024,79:13,3317,44650,721
